product;review
Moroccan Sea Salt Spray;This is my favorite sea salt spray, and I am so happy to see it back in stock. While it does not magically give me perfect beach waves on my damp hair, it helps it to dry less frizzy. Brad Modo does a great video on how to acheive the effortless beach wave look. I use it after I've added soft curls with my straightner to give the waves an extra boost.
Moroccan Sea Salt Spray;I spay it on after washing my hair & let it work it's magic to air dry.  If I feel like curly get later in the day I do that also a bit in the hold stays for a few days
Moroccan Sea Salt Spray;I don't like this spray at all. It makes my hair look dirty and oily. Not what I was hoping for. It was a waste of money.
Moroccan Sea Salt Spray;Good
Moroccan Sea Salt Spray;When I don't use product I have pretty wavy/curly hair so I thought but using this product it would enhance it! It ended up deflating my hair and ended up making it somehow like pin straight. The smell is alright but I do not think I'd buy again! I'm still going to give it some more tries as it could just be the way I'm applying it.
Moroccan Sea Salt Spray;I love this spray. I use this all the time in the summer.  I will dry my hair with a diffuser then spray this in and scrunch.  I will also use this on 2nd day hair to bring curls to life. This give me the exact beachy curls I get from swimming in the ocean and being on the beach all day.
Moroccan Sea Salt Spray;I use this product on clean hair and next day hair.  With age my hair has become wavy so I spritz it on and use a diffuser.  If needed I add a little more after drying and scrunch it. It give that beach wavy look to it without weighing it down.    I am able to get a second day without washing my hair by spritzing and scrunching the next morning. On day 2 hair does feel a little stiff but has not affected the health of my hair.
Moroccan Sea Salt Spray;This is the best sea salt spray out there and I've tried almost all of them!  I use this when my hair is almost dry and it makes my curls really pop.
Moroccan Sea Salt Spray;I have wavy hair, and this is the only sea salt spray that helps my wavy hair look great and relaxed without weighing down my hair or making it greasy looking. I've noticed this hasn't been in stock to reorder, and I hope this hasn't been discontinued!
Moroccan Sea Salt Spray;It definitely adds texture and increases my curls but only when used on wet hair. I do enjoy the smell but it doesn't add the shine it says and I felt drying of my hair
Moroccan Sea Salt Spray;Just spray for a voluminous hair style.
Moroccan Sea Salt Spray;While it's good for volume, it left my hair looking wild after I brushed it out. Will try again and not brush it out
Moroccan Sea Salt Spray;It leaves hair feeling really dry. Yes
Moroccan Sea Salt Spray;This product smells like angels! However, it leaves your hair feeling pretty dry/tangly.
Moroccan Sea Salt Spray;I was so excited about this because I usually like how well Moroccan oil hydrated my hair but this sea salt spray definitely sets my hair and makes it super tangled, I have to add extra oil after application to prevent tangles
Moroccan Sea Salt Spray;I have thick, already slightly wavy hair. This just tangles it. I do like the smell though. I generally love this brand but don't recommend this product.
Moroccan Sea Salt Spray;I have fine hair that can't end to look flat or not stay nice all day. Sea Sakt Spray gives my hair a lift and helps curl stay all day.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have easily oily hair. I use it on the morning to tame bed head hair. my hair gets oily easy and my scalp aches with too much conditioner or product. This stuff does not weigh me down or cause oil or heaviness. I love it. Bought back up bottles. It detangles. Can't say enough good.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love and recommend this stuff. I have oily hair. Can't use much conditioner because it weighs my hair down then my scalp hurts.  Same with much product. This stuff is awesome tho. I use this on my hair in the morning to comb out my bed head hair. Have no issues with weighing it down at all. Does not look greasy. Adds a bit of shine. Detangles as well. Highly recommend!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I struggled w frizz hair my whole life, this totally controlled the frizz, I've tried other Ogx hair serum like the coconut oil made my hair frizz sm, this one doesn't, I couldn't imagine my life without it. Gives my hair thickness, non frizz hair
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I was worried because the shampoos by ogx are not the best, and I recently stopped using them. I bought this and used as an after-shower hydration oil. It kept my hair shiny, soft and overall softened my dry ends. I only used a nickel sized amount in my wet hair and it lasted me like 3 or 4 months. I'm buying more again, but I think it depends on your hair type because other oils make my hair very greasy and stiff.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This product makes your hair look shiny & soft, but after using it for a couple weeks I noticed my damaged hair got extremely dry & brittle. Wouldn't recommend.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I style my hair and apply just a few drops of this oil oil for some shine. It makes my hair feel so soft, shiny and of course it smells amazing. Also Gus product doesn't make your hair feel sticky like some other hair oils. I definitely recommend this product!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This is a great mosturizer for dry hair. Applies easily with wet hair. Smell is sutle and nice.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Heads up: this is not an oil! It's a serum. It's not going to moisturize your hair, but it's incredible for making it shiny, smell good, and frizz-less. If you want an oil that will actually moisturize your strands, OGX doesn't have that. Use 100% pure oils (from The Ordinary or SheaMoisture). I use this product along with Jamaican castor oil on my ends and love it. This doesn't make it look oily, so it's great to put on in the morning to help my ends and my little frizz on top of my head, and then comb the excess through my hair so it's smooth and shiny.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I tried this product on my hair for several months, and I feel like it did NOTHING for my hair. It made my hair dry, brittle, frizzy and caused dandruffs. I also couldn't stand the smell. I threw it in the trash where it belongs. If I could give this product zero stars I would. I don't recommend this product.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;i would not recommend ANY of the ogx products except for their shampoo+conditioner. this product contains bad silicones that could potentially make your hair fall out.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;"Gave it two stars because is smells ok but it didn't ""heal"" my hair. I don't get why this has so many good reviews? There are better oils out there"
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love this spray because other oils are too heavy for fine, thin hair.  Great control, so hair is not too oily.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have been using this for over a month and my hair looks healthier and feels less dry on my ends. And it's not too pricey for the good product that you get. You don't have to use much either and it smells great!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I've got long, curly hair and this works quite well for detangling or adding some shine to the ends. Smells good too!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I've been growing my hair out and the longer it gets, the dryer it becomes. This oil works wonders! I highly recommend!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;this thing WORKS! i always use this after i wash my hair and when i wake up the next morning my hair is so curly, so smooth, and shiny! but i would not recommend using this as a heat protectant or after you style your hair, just use a spray.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Great product & affordable..
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have thick wavy easily oily hair. I can't go very many days without washing but I prefer to. I can't use conditioner much because my scalp starts to hurt the next day when I do. Decided to try this and love it. Doesn't weigh my hair down. I use it after I blow it straight. Calms the frizz and adds a bit of shine.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I've already noticed changes only after a week using this product. My hair is shiner and looks and feels healthier. Get this!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have been using this product for 3 years
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This product is awesome. I originally bought it about a year ago to help tame my frizz when I curl my hair. It works pretty good for that. I do find that it weakens the curls though. What I found that this product works amazing for us healing split ends! I put this on the ends of my hair every night and brush through it. I've been doing that for about 2 months and my hair dresser said that she's never seen my hair so healthy!! Try this product it's amazing!!!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Excellent!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love this hair product.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Got this because my hair was super dry after putting some blonde in it and it literally did everything I needed it to do. My hair is SO soft now. And also I would like to add I have very oily hair and most oils make my hair super greasy but this didn't do that. I don't spray it near my roots though.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I use this after styling to give my hair some protection and moisture.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I used this product after blowing out my hair, and then put my hair in a French braid. In the morning when I took the braid out my hair smelled like mildew, I completely dried my hair before I used it so I know it wasn't just from my hair still being wet.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Love this product! I have very thick&frizzy hair and this helped tame away the frizz and made my hair feel very soft. I use it after I blow dry or straighten my hair. I also sometimes spray it on the ends of my hair when they need some extra moisture. It also smells amazing!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This is amazing as a leave in conditioner, doesn't make my hair greasy at all. I've used this for years. Get it if you have dry hair or split ends.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love how this smells!! It makes my hair smell like it just came from the salon. It's a good product if you shower in the morning because it keeps my hair soft all day but by the next day my hair is flat and dry.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love how it smoothens my skin at the end of the day it really is smooth I love that feeling I just can't stand the smell of this thing, it's smells weird for me and also after atleast 18hrs of wearing it it leaves a heavy amount of grease in my hair that's why I had to immediately shower ew
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I used to use this a few years ago and I remember liking it, but when I tried using it now it was awful. It made my hair both dry and greasy somehow....like lots of frizz but weighed down with a greasy look. Maybe it's better if you blow dry your hair? Had to return.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;definitely made a huge difference to my hair. I use it after I shower and/or straighten my hair. it leaves my hair feeling so silky. a little bit goes a long way
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I sprayed around 7 pumps to only the ENDS of my hair because that is where my hair is most frizzy. Worked WONDERS!! I did use the olapex shampoo and conditioner while in the shower, but this product was really able to cut out the frizz and leave my hair shiny and soft. I've dyed it around three times in the past year, once with bleach, and this product knocked the frizz out.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I put it on my freshly shampooed hair for styling. Leaves my hair sleek and shiny.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Product is best on market
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love this stuff! My hair is thin and also damaged from getting highlights. It helps bring moisture back to my hair! The thing that I hate about it though, is I have VERY sensitive acne prone skin and this stuff makes me break out! Still trying to decide if it's worth continuing to use. :-/
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have been looking for my holy grail leave-in product for my thin hair for so long and I finally found it! It is SO lightweight, doesn't weigh the hair down, and makes it super shiny and soft. My hair has never looked better and since it's oil-based it helps keep out tangles too. This is great for right out of the shower and also for touching up between washes. I always had to wash my hair every 2nd day because my ends were too dry, and this works amazing for helping to treat your ends so you don't have to wash and condition it. All around amazing multi-use product and I'll keep buying it again and again!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;My holy grail. I'll put this on when my hair is damp. After I brush, I'll separate my hair into two. A little goes a long way. It's very moisturizing and doesn't way my hair down. The best part about it is that it brings out my natural waves PERFECTLY. Almost looks like I have heat styled waves. It was always a struggle to bring out my natural waves without product as it would always frizz up. Not this product. Get it! You won't regret it!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have thick coarse Hispanic hair, this stuff is a god send but you really only need a small amount. It instantly made my frizz vanish without leaving it greasy or sticking together. Super excited I took a risk with this and for the price it really is amazing.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This oil makes my hair smell good and very soft
Renewing + Argan Oil of Morocco Extra Penetrating Oil;moisturizes my 3c curls so so well. it feels super duper nice and I love it!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;This is my must have product in my bathroom cabinet. My hair is always so dry no matter what products I use, but this oil has saved me so many times! It adds shine and tames frizz without making my hair oily. I spray on my ends and avoid my scalp. If you have any sort of dry or textured hair, this product is for you!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;this works a little better when my hair is straightened, but it makes my curls lose their definition and feel like straw
Renewing + Argan Oil of Morocco Extra Penetrating Oil;After reading so many glowing reviews and enjoying another oil by OGX (the biotin one) I decided to give this a try! A few uses in, and I'm disappointed and unimpressed.  The first time I used it, I used about a quarter about, like I would with the biotin oil.  Nope.  My hair ended up so greasy!  For the next few washes, I reduced my amount DRASTICALLY and blow dried my hair, still heavy, sticky, and greasy.  I have medium density hair (not too think, not too fine) so I'm shocked at how much this weighs my hair down.  It also doesn't have any scent, the other oil smelled AMAZING! Did I just get a defective bottle?
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love the OGX Moroccan oil.  It makes my hair super soft and it smells amazing.  I have naturally fine hair that has some damage from frequent coloring, and a very small amount of this on gently toweled hair after a shower has done amazing things for it.  If you have fine hair I will say it's easy to accidentally use too much, you really need about the size of a pea for shoulder length hair, and if your hair also trends oils at the roots like mine, only apply it to the bottom half of your hair, focusing on the roots.  This also had the side effect of making my hands really soft.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;makes my hair smooth/shiny and really tames frizziness on my hair ! Very lightweight and smells great :)
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I put this on my hair immediately after I shower with other products and I love it.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;i personally love this product. i have very dry and damaged hair and this always leaves it silky and smooth. i put it on after the shower and before i do my hair i also put hair spray in there but this gives it more of a silky finish.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Moisturizes my hair so well and it makes It so so soft. Very happy with this.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Both my daughter and I have really frizzy, curly hair. This works great to manage our curls and helps to detangle it as well.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;this oil has been moisturizing and adding shine to my hair all day! I use it after blow drying and apply all over my hair, I love the smell and the frizz control I cant get over it. ogx infused with argan oil of morocco leaving my hair shiny and glowing, no more frizz ! healing dry oil. beeauty pure and simple. Must try.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love this stuff so much. I think I've bought it like 4 times now! It smells fantastic, it makes my hair so soft and it is way easier to comb through when its wet, and also once it dries. I have pretty fine (and very damaged...whoops) hair that isn't very thick, and it doesn't weigh it down at all. I use about a dime size and rub it on my hands and work in, starting at the bottom. It's great, I can't say that enough.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Love this product
Renewing + Argan Oil of Morocco Extra Penetrating Oil;So I never used to use oil because it normally wears my curls down. But this oil! I spray it multiple times day. Makes it shiny & keeps my scalp from being dry. love love love.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Makes hair more manageable
Renewing + Argan Oil of Morocco Extra Penetrating Oil;My hair looks/feels soft and healthy.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I usually use this product after I shower it works great on my hair
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Its great everytime i use it
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Thank you!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I love this oil! It makes my hair so shiny and soft without being greasy or oily.  I just dyed my hair and everyone complimented how shiny it was.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I was amazed on how amazing my hair turned out! I absolutely loved! i added it to my hair before blow drying and after! my ends would always come out dry but this made it silky smooth!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;It did help with my bleaching my hair and I am sooo happy with it.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Makes your hair soft and glossy.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;After I work out and shower.  I use it on my hair and it works perfectly.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I was worried this would be too heavy for my thin short hair but it wasn't :) I obviously use a very small portion but this stuff is awesome! Cuts down drying time and leaves my hair super soft and shiney :) I love this way more than the CHi oil.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I am growing out some old color, so the bottom third of my shoulder length hair is pretty parched. I've used the OGX Coconut Oil mist after I'm finished styling with pretty good results.  I decided to try this for a change, and I am so glad I did!  After reading some of the reviews here, I decided to try spraying this on my hair when it's wet to see how it would do.  I cannot believe how smooth it made my hair when I blew it dry!  I don't straighten my naturally wavy hair every day, but my hair just glided through my iron this morning.  I was so impressed, I felt compelled to write a review.  I still sprayed a bit in my hands and ran them through my hair when I was finished styling, like I did with the coconut oil, and it left my hair feeling silky and healthy all day.  I absolutely love this stuff!  Highly recommend.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have really dry hair and this helped a lot with that, my hair looks less dull, it looks more healthy and it smells amazing!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Spray into hand and run threw hair or spray a few times a few inches away from ended. Personally helped me with moisture after showers for a fix for my split ends.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Love this. Smells sooooo good and leaves my hair feeling so soft when I wake up. I put this on after I've showered and brushed my hair.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;It smells amazing! The mist is so fine, it's light weight, not greasy and it gives beautiful shine. I love this!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I spray this on my hair every night before bed and then before I leave for work.  It has completely changed how my hair feels and looks.  I have pain-in-the-butt curly hair thats been through just about every treatment imaginable and dyed (because blondes have more fun right?).  This product has completely changed my life.  I do go through it extremely fast, but its relatively cheap so I don't care!!!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I like the product it smells good and is very light on my hair.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I've been using this for years now. Love it. Seems a little oily when you first put it on, but my hair absorbs it and it gives me softness and shine. I also like the smell.Works great., better than higher priced products.I'm always afraid they will discontinue it.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I asked a question on here about it being shiny enough. I bought it and whoa was it shiny! Love it! I use it almost everyday cause my hair is so thick. The only problem is it's only shiny in the sunshine and never indoors. Thinking about getting the shampoo and conditioner. Maybe that will help.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Spritz on when using heat and it leaves hair smooth soft and shiny! What a bargain too! Smells great!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Argan oil really does help maintain my hair. My hair is overprocessed therefore there's only so much it can do which is calm down frizz and coat my hair to keep it from looking like a broom. But I notice my hair turns yellow much quicker and after reading the ingredients listed in the bottle(which are not listed in this website) that it contains red and yellow dyes..
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have natural curly hair. I don't wash my hair everyday but I wet it everyday. I've been having trouble finding something that can define my curls while keeping them baby soft. This product does that for me.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;It doesn't weight my hair down and pleasant smell.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I seen this once on Pinterest for dry brittle hair. So I purchased once & OMG now this like my 4 bottle or so. I use this once I step out the shower then blow dry or air dry May hair. Smells super good!! I spray once I straighten my hair too. I also use it the next day once I brush my hair. Hubby loves the smell too
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Just spray it in your hair regularly and you should feel your hair feel softer and livelier. I just spray it on my ends.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;Affordable and actually softens texture of colored hair!
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I always put it on my wet hair then blow dry. Just in case I put too much on the blow drying helps dry it out a little more. I also put it on my dry hair to try to smooth out the frizziness. You do need to be careful because you can put to much on and look like you have dirty oily hair.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;this products sucks. messed up my hair, drying it terribly. WORST product ever
Renewing + Argan Oil of Morocco Extra Penetrating Oil;I have dry hair because I dye it.  I use this almost nightly.
Renewing + Argan Oil of Morocco Extra Penetrating Oil;like it very much
